Название,Средний балл,Количество мест,Количество образовательных программ,Город
РХТУ им. Д. И. Менделеева,56.4,1411,33,Москва
МТУСИ,71.5,1102,22,Москва
СПбГУТ,70.2,1025,35,Санкт-Петербрг
СКФ МТУСИ,51.5,119,2,Ростов-на-дону
ВВФ МТУСИ,64.9,40,1,Нижний Новгород
УрФУ,67.9,6601,161,Екатеринбург
МГТУ им. Баумана,74.5,3710,119,Москва
СПбПУ им Петра Великого,69.7,3570,79,Санкт-Петербрг
СФУ,58.3,4257,111,Красноярск
РТУ МИРЭА,76.0,3237,52,Москва
КФУ,68.5,3586,152,Татарстан
НИУ ВШЭ,92.5,2641,68,Москва
ФУ при Правительстве РФ,87.6,2414,73,Москва
ЮФУ,66.9,3120,95,Ростов-на-дону
МАИ,67.1,3041,70,Москва
ДВФУ,65.5,3107,82,Владивосток
СПбГУ,82.0,2400,135,Санкт-Петербрг
КНИТУ,57.6,3388,104,Татарстан
Московский Политех,66.6,2796,69,Москва
РУТ (МИИТ),58.0,3114,163,Москва
КФУ им. Вернадского,70.5,2523,62,Севастополь
ДГТУ,50.8,3385,115,Ростов-на-дону
СВФУ им. Аммосова,54.8,3007,134,Якутия
ТГУ,65.7,2491,84,Томск
МЭИ,62.5,2596,51,Москва
ННГУ им. Лобачевского,73.0,2190,66,Нижний Новгород
МГМУ им. Сеченова,78.8,2006,20,Москва
НГТУ НЭТИ,61.2,2457,103,Новосибирск
Самарский университет (СНИУ),60.1,2398,79,Самара
ТИУ,55.2,2581,77,Тюмень
УГНТУ,65.9,2157,111,Башкортостан
КубГУ,68.0,2070,81,Краснодар
ЮУрГУ,58.4,2374,119,Челябинск
ГУАП,68.2,1965,88,Санкт-Петербрг
МГПУ,82.3,1613,78,Москва
СибГУ им. М.Ф. Решетнева,50.6,2617,93,Красноярск
АлтГУ,61.5,2099,78,Алтайский край
БелГУ,56.0,2293,93,Белгород
ВГТУ,55.3,2301,59,Воронеж
РГАУ-МСХА имени К. А. Тимирязева,57.4,2184,58,Москва
ПНИПУ,53.8,2320,71,Пермь
ИТМО,86.3,1426,36,Санкт-Петербрг
СКФУ,65.6,1870,81,Ставрополь
СПбГЭТУ «ЛЭТИ»,71.7,1703,30,Санкт-Петербрг
РГПУ им. Герцена,76.3,1596,100,Санкт-Петербрг
МПГУ,73.8,1642,103,Москва
САФУ им. М.В. Ломоносова,54.0,2229,68,Архангельск
Горный университет (СПГУ),61.7,1912,38,Санкт-Петербрг
СГУ им. Н. Г. Чернышевского,59.3,1972,103,Саратов
СамГТУ,59.9,1947,91,Самара
РГУНГ им. Губкина,75.2,1538,41,Москва
НИУ МГСУ,58.8,1956,23,Москва
ТПУ,62.2,1816,38,Томск
ВГУ,68.0,1659,77,Воронеж
ОмГТУ,53.7,2077,63,Омск
БФУ им. И. Канта,67.3,1655,52,Калининград
ТюмГУ,73.9,1504,61,Тюмень
